Tumor,Cluster,Cohen's d,AdjP,RankbyES
BRCA,CL1,0.23317460317460317,0.013188899890619601,73.58730158730158
BRCA,CL2,0.2353409090909091,0.011740018257590678,71.3409090909091
BRCA,CL3,0.2189032258064516,0.014147359940355127,82.45161290322581
BRCA,CL4,0.22735555555555556,0.015071658730446105,76.24444444444444
BRCA,CL5,0.22816666666666666,0.013837685084405929,78.83333333333333
COLO,CL1,0.33453125,0.0062629696453646334,69.265625
COLO,CL2,0.3358867924528302,0.004334301761373625,67.43396226415095
COLO,CL3,0.3220512820512821,0.007186065818191536,76.46153846153847
COLO,CL4,0.3116190476190476,0.007503517273953024,82.52380952380952
COLO,CL5,0.3265625,0.008324791985180949,73.53125
GLIOMA,CL1,0.366025,0.005595184513988498,94.7375
GLIOMA,CL2,0.3705416666666667,0.004647063773177146,91.54166666666667
GLIOMA,CL3,0.3526888888888889,0.005485169711235598,101.31111111111112
GLIOMA,CL4,0.34930952380952385,0.006038866102348684,105.04761904761905
GLIOMA,CL5,0.35185714285714287,0.005842497012101126,103.04761904761905
KIPAN,CL1,0.37826666666666664,0.00239158966312529,135.72222222222223
KIPAN,CL2,0.3445526315789474,0.0030572475100686305,157.46052631578948
KIPAN,CL3,0.37537878787878787,0.0027416959566302066,136.16666666666666
KIPAN,CL4,0.38575324675324674,0.002310423378659066,132.0
KIPAN,CL5,0.3894102564102564,0.0032931761560059647,127.94871794871794
